"season","season_type","week","poll","rank","teamId","school","conference","first_place_votes","points"
1990,"regular",2,"AP Top 25",21,213,"Penn State","FBS Independents",NA,NA
1990,"regular",2,"AP Top 25",22,127,"Michigan State","Big Ten",NA,NA
1990,"regular",2,"AP Top 25",23,201,"Oklahoma","Big 8",NA,NA
1990,"regular",2,"AP Top 25",24,248,"Houston","Southwest",NA,NA
1990,"regular",2,"AP Top 25",25,277,"West Virginia","FBS Independents",NA,NA
1990,"regular",3,"AP Top 25",1,87,"Notre Dame","FBS Independents",NA,NA
1990,"regular",3,"AP Top 25",2,2,"Auburn","SEC",NA,NA
1990,"regular",3,"AP Top 25",3,52,"Florida State","FBS Independents",NA,NA
1990,"regular",3,"AP Top 25",4,130,"Michigan","Big Ten",NA,NA
1990,"regular",3,"AP Top 25",5,252,"BYU","Western Athletic",NA,NA
1990,"regular",3,"AP Top 25",6,30,"USC","Pac-10",NA,NA
1990,"regular",3,"AP Top 25",7,2633,"Tennessee","SEC",NA,NA
1990,"regular",3,"AP Top 25",8,158,"Nebraska","Big 8",NA,NA
1990,"regular",3,"AP Top 25",9,38,"Colorado","Big 8",NA,NA
1990,"regular",3,"AP Top 25",10,2390,"Miami","FBS Independents",NA,NA
1990,"regular",3,"AP Top 25",11,258,"Virginia","ACC",NA,NA
1990,"regular",3,"AP Top 25",12,245,"Texas A&M","Southwest",NA,NA
1990,"regular",3,"AP Top 25",13,221,"Pittsburgh","FBS Independents",NA,NA
1990,"regular",3,"AP Top 25",14,201,"Oklahoma","Big 8",NA,NA
1990,"regular",3,"AP Top 25",15,8,"Arkansas","Southwest",NA,NA
1990,"regular",3,"AP Top 25",16,228,"Clemson","ACC",NA,NA
1990,"regular",3,"AP Top 25",17,194,"Ohio State","Big Ten",NA,NA
1990,"regular",3,"AP Top 25",18,248,"Houston","Southwest",NA,NA
1990,"regular",3,"AP Top 25",19,127,"Michigan State","Big Ten",NA,NA
1990,"regular",3,"AP Top 25",20,12,"Arizona","Pac-10",NA,NA
1990,"regular",3,"AP Top 25",21,356,"Illinois","Big Ten",NA,NA
1990,"regular",3,"AP Top 25",22,264,"Washington","Pac-10",NA,NA
